created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-22T15:01:28+00:00,31,23.3,0,4,25.126364,55.384937,-83,9.5,0,,,,
2025-11-22T15:01:43+00:00,32,23.3,0,4,25.126364,55.384937,-83,9.5,0,,,,
2025-11-22T15:01:58+00:00,33,23.2,0,4,25.126482,55.38501,-91,9.0,0,,,,
2025-11-22T15:02:13+00:00,34,23.2,0,4,25.126482,55.38501,-91,9.0,0,,,,
2025-11-22T15:02:28+00:00,35,23.2,0,4,25.126631,55.385098,-103,8.0,0,,,,
2025-11-22T15:02:43+00:00,36,23.2,0,4,25.126871,55.385239,-99,9.25,0,,,,
2025-11-22T15:02:58+00:00,37,23.6,0,5,25.127031,55.385334,-90,9.5,0,,,,
2025-11-22T15:03:13+00:00,38,23.6,0,5,25.127356,55.385506,-92,9.25,0,,,,
2025-11-22T15:03:28+00:00,39,23.6,0,5,25.127356,55.385506,-92,9.25,0,,,,
2025-11-22T15:03:43+00:00,40,23.4,0,4,25.127567,55.385647,-112,3.0,0,,,,
2025-11-22T15:03:58+00:00,41,23.2,0,5,25.128838,55.386414,-112,4.75,0,,,,
2025-11-22T15:04:13+00:00,42,23.1,0,3,25.129219,55.386677,-114,1.0,0,,,,
2025-11-22T15:04:28+00:00,43,23.2,0,5,25.129219,55.386677,-114,1.0,0,,,,
2025-11-22T15:04:43+00:00,44,23.2,0,5,25.128714,55.388535,-104,8.5,0,,,,
2025-11-22T15:04:58+00:00,45,23.0,0,4,25.128248,55.38937,-108,4.75,0,,,,
2025-11-22T15:05:13+00:00,46,22.9,0,2,25.128248,55.38937,-108,4.75,0,,,,
2025-11-22T15:05:28+00:00,47,22.9,0,2,25.128008,55.38974,-110,6.25,0,,,,
2025-11-22T15:05:43+00:00,48,23.3,0,4,25.127708,55.390163,-104,7.25,0,,,,
2025-11-22T15:05:58+00:00,49,23.6,0,3,25.127048,55.390984,-112,4.5,0,,,,
2025-11-22T15:06:13+00:00,50,23.2,0,12,25.126101,55.391144,-99,9.0,0,,,,
2025-11-22T15:06:28+00:00,51,63.0,9,3,25.124401,55.389923,-106,8.5,0,,,,
2025-11-22T15:06:43+00:00,52,23.7,0,8,25.12384,55.389603,-101,11.25,0,,,,
2025-11-22T15:06:58+00:00,53,23.5,0,4,25.123537,55.389439,-107,8.25,0,,,,
2025-11-22T15:07:13+00:00,54,23.9,0,4,25.123219,55.389282,-103,7.75,0,,,,
2025-11-22T15:07:28+00:00,55,23.8,0,2,25.123114,55.389233,-108,6.25,0,,,,
2025-11-22T15:07:43+00:00,56,24.0,0,2,25.122726,55.388893,-107,7.75,0,,,,
2025-11-22T15:07:58+00:00,57,24.2,0,1,25.122726,55.388893,-107,7.75,0,,,,
2025-11-22T15:08:13+00:00,58,24.2,0,1,25.122459,55.388241,-105,6.5,0,,,,
2025-11-22T15:08:28+00:00,59,24.2,0,4,25.122417,55.387711,-99,9.0,0,,,,
2025-11-22T15:08:43+00:00,60,23.7,0,1,25.122517,55.387066,-97,9.75,0,,,,
2025-11-22T15:08:58+00:00,61,23.7,0,3,25.122786,55.386421,-102,8.5,0,,,,
2025-11-22T15:09:13+00:00,62,23.7,0,3,25.123034,55.386051,-95,9.5,0,,,,
2025-11-22T15:09:28+00:00,63,23.7,0,11,25.123264,55.385853,-97,9.25,0,,,,
2025-11-22T15:09:43+00:00,64,23.7,0,11,25.123264,55.385853,-97,9.25,0,,,,
2025-11-22T15:09:58+00:00,65,23.2,0,2,25.123892,55.385334,-96,9.0,0,,,,
2025-11-22T15:10:13+00:00,66,23.6,0,4,25.124195,55.385017,-93,10.25,0,,,,
2025-11-22T15:10:28+00:00,67,23.7,0,0,25.124517,55.384632,-94,9.5,0,,,,
2025-11-22T15:10:43+00:00,68,23.9,0,4,25.124788,55.384285,-74,9.75,0,,,,
2025-11-22T15:10:58+00:00,69,23.3,0,4,25.125238,55.384274,-65,9.25,0,,,,
2025-11-22T15:11:13+00:00,70,23.4,0,6,25.125778,55.38464,-70,9.0,0,,,,
2025-11-22T15:11:28+00:00,71,23.4,0,1,25.126223,55.384853,-83,9.25,0,,,,
2025-11-22T15:11:43+00:00,72,23.8,0,3,25.126781,55.385189,-99,8.5,0,,,,
2025-11-22T15:11:58+00:00,73,23.8,0,9,25.126961,55.385296,-93,9.25,0,,,,
2025-11-22T15:12:13+00:00,74,23.1,0,5,25.127209,55.385448,-93,11.75,0,,,,
2025-11-22T15:12:28+00:00,75,23.3,0,0,25.128391,55.386055,-104,7.0,0,,,,
